Name;Description;Price;Score;ReleaseDate;PlatformName;PlatformCompany
Fire Emblem Fates;Es un videojuego de rol táctico desarrollado por Intelligent Systems y publicado por Nintendo para la videoconsola portátil Nintendo 3DS.;44,95;4,87;2016-05-20;3DS;Nintendo
Fire Emblem Awakening;Es la decimotercera entrega de la saga Fire Emblem y el primer título de Nintendo 3DS desarrollado para utilizar contenido descargable de pago.;44,95;4,92;2013-04-19;3DS;Nintendo
The Elder Scrolls V: Skyrim;Es un videojuego de rol de acción del tipo mundo abierto desarrollado por Bethesda Game Studios y publicado por Bethesda Softworks.;59,95;4,97;2011-11-11;Xbox Series X;Microsoft
The Elder Scrolls V: Skyrim;Es un videojuego de rol de acción del tipo mundo abierto desarrollado por Bethesda Game Studios y publicado por Bethesda Softworks.;59,95;4,17;2011-11-11;Xbox Series S;Microsoft
The Elder Scrolls V: Skyrim;Es un videojuego de rol de acción del tipo mundo abierto desarrollado por Bethesda Game Studios y publicado por Bethesda Softworks.;59,95;4,97;2011-11-11;PlayStation 5;Sony
Dark Souls;Es un videojuego de rol de acción, desarrollado por la empresa From Software para las plataformas PlayStation 3, PlayStation 4, Xbox 360 y Microsoft Windows, distribuido por Namco Bandai Games.;54,95;5;2011-10-06;Xbox Series X;Microsoft
Dark Souls;Es un videojuego de rol de acción, desarrollado por la empresa From Software para las plataformas PlayStation 3, PlayStation 4, Xbox 360 y Microsoft Windows, distribuido por Namco Bandai Games.;54,95;4,1;2011-10-06;Xbox Series S;Microsoft
Dark Souls;Es un videojuego de rol de acción, desarrollado por la empresa From Software para las plataformas PlayStation 3, PlayStation 4, Xbox 360 y Microsoft Windows, distribuido por Namco Bandai Games.;54,95;4,99;2011-10-06;PlayStation 5;Sony
Minecraft;Es un videojuego de construcción, de tipo «mundo abierto» o sandbox creado originalmente por el sueco Markus Persson, y posteriormente desarrollado por su empresa, Mojang Studios.;19,95;5;2009-11-18;PlayStation 5;Sony
Minecraft;Es un videojuego de construcción, de tipo «mundo abierto» o sandbox creado originalmente por el sueco Markus Persson, y posteriormente desarrollado por su empresa, Mojang Studios.;19,95;1,9;2009-11-18;Xbox Series S;Microsoft
Minecraft;Es un videojuego de construcción, de tipo «mundo abierto» o sandbox creado originalmente por el sueco Markus Persson, y posteriormente desarrollado por su empresa, Mojang Studios.;19,95;4,86;2009-11-18;Xbox Series X;Microsoft
Cyberpunk 2077;Es un videojuego desarrollado y publicado por CD Projekt;59,95;3,61;2020-12-10;Xbox Series S;Microsoft
Cyberpunk 2077;Es un videojuego desarrollado y publicado por CD Projekt;59,95;3,69;2020-12-10;Xbox Series X;Microsoft
Cyberpunk 2077;Es un videojuego desarrollado y publicado por CD Projekt;59,95;3,83;2020-12-10;PlayStation 5;Sony
